question,true_answer,question_id,disciplina,split
"TEXTO DE REFERÊNCIA: TEXTO I

Pobreza e desigualdade de renda no Brasil

Data | Taxa de pobreza (P0) (%) | Número de pessoas pobres | Taxa de extrema pobreza (P0) (%) | Número de pessoas extremamente pobres | Desigualdade (coeficiente de Gini) | Desigualdade (índice T de Thell)
1990 | 41,92 | 58 119 829 | 19,95 | 27 659 557 | 0,614 | 0,773
2004 | 33,71 | 60 132 299 | 13,22 | 23 577 095 | 0,572 | 0,665
2014 | 13,29 | 25 888 565 | 4,20 | 8 191 008 | 0,518 | 0,541

DANTAS, S. et al. Uma avaliação do Programa Bolsa Família. Interações (Campo Grande), 2018, p. 720.

TEXTO II

O Programa Bolsa Família foi instituído em 2004 e é uma política de transferência de renda direta destinada às famílias em vulnerabilidade social. É fruto da unificação dos programas de renda mínima: Bolsa‑Alimentação, Auxílio‑Gás, Bolsa‑Escola e o Cartão Alimentação. [...] Faz parte da estratégia para combater a fome e a pobreza, promover a segurança alimentar e nutricional e o acesso aos serviços públicos e estimular o desenvolvimento socioeconômico do país, atuando em três dimensões essenciais: alívio imediato da pobreza por meio de transferência direta de renda às famílias; exercício dos direitos sociais básicos nos setores de educação, saúde e assistência social, através do cumprimento das condicionalidades; e, capacitação das famílias através de programas complementares de alfabetização, de geração de emprego e renda, entre outros.

DANTAS, S. et al. Uma avaliação do Programa Bolsa Família. Interações (Campo Grande), 2018, p. 718‑719.

Pergunta: Qual foi o impacto da implementação do Programa Bolsa Família sobre a quantidade de indivíduos com renda domiciliar per capita abaixo dos níveis de pobreza e extrema pobreza?

Resposta: Reduziu a quantidade de indivíduos, pois se baseou na redistribuição de renda.","Reduziu a quantidade de indivíduos, pois se baseou na redistribuição de renda.",f18b9a2d5e2e0490f7da05cdc3457a5be0d37fbb48c2fcc94c9234059cd45d1a47b58f5fdb29a8245ea861125024ecfc5857f30f1b3c1dbb869eab4396615f12,Ciências Humanas,train
"TEXTO DE REFERÊNCIA: Foram produzidos 3 348 litros de perfume. O frasco é gerado pela rotação, em torno do eixo que contém a altura, da região obtida a partir de um quadrado de lado 6 cm do qual foi removido um triângulo isósceles cuja base coincide com um dos lados do quadrado e cujo vértice é o ponto médio do lado oposto. Adotando π ≈ 3,1.

ENUNCIADO: Considerando π ≈ 3,1, quantos frascos devem ser produzidos para acomodar todo o volume de perfume fabricado, sem que haja perda?",30000,d68b543d6f8c831ae30ead9ec4fcc741a8e519f251e96023077f06f49964ba1ddf596e3417de4338ff943f5075fb929dc7174966d84523422a52f44b1d767592,Matemática,train
"TEXTO DE REFERÊNCIA: No início da pandemia, quando o ensino remoto se transformou na única alternativa, a estudante Emilly Cipriano, de 17 anos e moradora de Paraisópolis, em São Paulo, se viu em uma situação difícil, pois nem internet em casa ela tinha. A realidade da adolescente paulistana reflete o abismo digital entre ricos e pobres no país, uma realidade que serve de espelho para as diferenças socioeconômicas entre a baixa e a alta renda. Um estudo realizado pela consultoria PwC, em parceria com o Instituto Locomotiva, mostra que, se as classes mais pobres tivessem o mesmo patamar de acesso à web disponível para as mais altas, sua renda poderia dar um salto de 15,3 %. ""A disparidade deve ser ainda maior, pois não é possível falar do potencial da renda que essas pessoas desconectadas poderiam ter se tivessem acesso à internet para vender alguma coisa, por exemplo"", afirma Renato Meirelles, presidente e fundador do Instituto Locomotiva. ""O analfabeto digital de hoje é o analfabeto funcional de ontem. Na prática, a digitalização é o novo português e estaremos excluindo diversas pessoas se nada for feito.""

Ao tratar sobre a desigualdade digital no Brasil, o que o texto afirma?",Relaciona o acesso à internet à melhoria de renda da população mais pobre.,98b2091fa96bbf0c433ebbcc3a0a596d7fdc3fbb07bffdabd4692df434acfbb6443936b4cdcc978831063f102811c54686b29f1aca66229b49df35c4b029dc7c,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: Um fotógrafo especializado no registro de insetos selecionou as melhores fotografias de joaninhas que tem em seu portfólio para ilustrar um livro de Entomologia. A joaninha fotografada tem 4 mm de comprimento; a escala utilizada para a ampliação da imagem, em relação ao tamanho real do inseto, foi de 1 : 50.

Nessas condições, o comprimento, em centímetro, da joaninha ilustrada na página de abertura do capítulo vale:",20,53f9dc402ba9f9c66193ac49559f4f7134a58246baa0bbbe7907135bb18ca0b550ab7ec0508ba093dcfd95de7a5552b56ee9f4436259e46860a09ac9f558a4b0,Matemática,train
"TEXTO DE REFERÊNCIA: No livro A fortuna dos Inconfidentes, André Figueiredo Rodrigues apontou novos rumos para o entendimento da Inconfidência Mineira, um dos mais importantes temas de nossa história. Em suas pesquisas, o autor indica que o excessivo endividamento de alguns dos conjurados, membros da elite colonial, pode ter sido decisivo na sua decisão de participar da Conjuração. Disponível em: <http://globolivros.globo.com>. Acesso em: 14 mar. 2014 (Adaptação). A Inconfidência Mineira, ocorrida em 1789, foi um movimento contrário ao domínio português. Sob influência dos ideais iluministas de liberdade e igualdade e estimulados pela emancipação das Treze Colônias, os inconfidentes mineiros pretendiam proclamar a independência e a república no Brasil.

De acordo com o texto, qual era o objetivo de alguns membros da Inconfidência Mineira ao participar da Conjuração?",Ficarem livres das cobranças fiscais metropolitanas.,ad065fb27b6a0cb72eb868950b4d437856cc1a5257e17bed4e6dd347a576095b684006b500622c1b5072b65407336ef098274ef782070b68693d7c7fe5bc4cf9,Ciências Humanas,train
"TEXTO DE REFERÊNCIA: O poeta da roça

Sou fio das mata, cantô da mão grossa
Trabaio na roça, de inverno e de estio.
A minha chupana é tapada de barro,
Só fumo cigarro de paia de mio.
Sou poeta das brenha, não faço paper
De argum menestré, ou errante cantô
Que véve vagando, com sua viola,
Cantando pachola, à procura de amô.
Não tenho sabença, pois nunca estudei,
Apenas eu sei o meu nome assiná.
Meu pai coitadinho! Vivia sem cobre,
E o fio do pobre não pode estudá.

ASSARÉ, P. Antologia poética. Fortaleza: Edições Demócrito Rocha, 2007.

Considerando esse poema, a escolha lexical do eu lírico evidencia sua:",identidade cultural e social,1122f21fcc0956bd7259cbec504706f0a07921254b1364046c76d863e6e178f5850096cba158f0a6065b308b69f1d126dc590326f0b0d4bdc2a31f6e78ac607f,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: Certa noite

você me disse

que eu não tinha

coração

Nessa noite

aberta

como uma estranha flor

expus a todos

meu coração

que não tenho

MARQUES, A. M. Teatro. In: _Da arte das armadilhas._
São Paulo: Companhia das Letras, 2011.

No poema de Ana Martins Marques, qual é o esforço do eu lírico?
",Desmentir a acusação por meio da vulnerabilidade.,8d3b6380a1f5d7a0c1cd1b7b586ad0ade87164d335c5d45bc3e22c5e51cf3db8399174276eba4bcbac9a9905c79819ec8316abbeb35584408513f991a48d0f16,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: A politização da questão do crescimento demográfico pelos Estados Unidos e o lugar estratégico reservado à sua desaceleração dentro da sua política internacional levaram, principalmente na América Latina, a um confronto político‑ideológico e científico entre aqueles que defendiam as políticas de controle da natalidade e a quase unanimidade dos cientistas sociais, entre eles a grande maioria dos demógrafos, que estava concentrada na oposição aos chamados neomalthusianos.

CARVALHO, J. A. M.; BRITO, F. A demografia brasileira e o declínio da fecundidade no Brasil: contribuições, equívocos e silêncios. Revista Brasileira de Estudos de População, São Paulo, v.2, n. 2, 2, p. 351‑369, jul./dez., 2005. (adaptado)

A divergência de posicionamentos apresentada no texto se refere diretamente à atuação do Estado na",estruturação do planejamento familiar,63a0a86944d48d93f790acf5250801bde5114276c65f6e2b72c78a11cd6023fcd06554a9e7fc099049bb7b610a7c6cf76734e492372d8dbbfd0c307a9b36ff32,Ciências Humanas,train
"TEXTO DE REFERÊNCIA: With the largest collection of Islamic art in the world, drawn from three continents, this fabulous museum is so rich in treasure that it rewards short, intense visits. Rising from its own purpose-built island, and set in an extensive landscape of lawns and ornamental trees off the Corniche, the museum is shaped like a postmodern fortress with minimal windows (to reduce energy use). The views across the water are splendid.
The museum was designed by IM Pei, the architect of the Louvre pyramid in Paris, and you know that something special awaits from the minute you lay eyes on the grand, palm-tree-lined entrance. Inside, the building is a masterpiece of light and space, drawing your eyes up to the dome, a clever modern take on an element so prevalent in Islamic architecture.
The collection is spread over three floors: the 1st and 2nd floors house the permanent collection, which includes exquisite textiles, ceramics, enamel work and glass, all showcased conceptually.
Pace yourself by visiting the cafe downstairs or finish at the top-floor IDAM restaurant. On the ground floor there’s a large museum shop. There are free 40‑minute guided tours (in English and Arabic) of the permanent collection on Thursday at 2pm.

“Museum of Islamic Art”. Disponível em: <https://www.lonelyplanet.com>. Acesso em: 28 out. 2020.

Qual é a finalidade do texto em relação ao Museu de Arte Islâmica do Catar?",Fornecer informações para recomendar a atração ao leitor.,6142fc1e29f4aef141ad8dc53984398e3927a3a743339345bebbea1a4231859c1569bb7d07c6dfa9e590c609a4d961f9086c02812cceb1b057700eca4a465ffd,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: O aquecimento global ameaça ilhas e regiões costeiras ao redor do planeta e muitos países já se preparam para ter sua área continental reduzida ou, até mesmo, para desaparecer por completo. No Panamá, a ilha Gardi Sugdub, habitada pelo povo indígena Guna, está ameaçada à medida que o mar avança sobre as casas da população. Assim, em junho de 2024, por decisão do governo, a população da ilha foi orientada a se mudar para o continente. O governo do Panamá construiu um conjunto habitacional para abrigar a comunidade Guna, a cerca de 1,2 quilômetros da costa do país. Ao todo, 1 000 pessoas foram realocadas para o conjunto pelo governo, mas algumas famílias, cerca de 200 pessoas, preferiram ficar na ilha e tiveram que construir casas com dois andares.

TEIXEIRA, K. Refugiados climáticos: moradores de ilha no Caribe são realocados por causa do avanço do mar. Disponível em: <www.tempo.com>. Acesso em: 24 jun. 2024. [Fragmento adaptado]

A situação relatada é causada pela seguinte implicação das mudanças climáticas globais:",Derretimento das geleiras,d54bc8fc7ef91828b8a271626b3c0011abf7fc360d75187b19693d46e48fa9fc52af6e564dbed7c279397d74fe2a71a73beb98591935857dec0ec8546b35d980,Ciências da Natureza,test
