question,true_answer,question_id,disciplina,split
"TEXTO DE REFERÊNCIA: A globalização é um processo de expansão econômica, política e cultural a nível mundial. Sua origem remete ao período das Grandes Navegações no século XVI, momento em que as trocas comerciais se ampliaram para outras nações. No último século, o processo de globalização se acelerou bastante devido à Terceira Revolução Industrial (ou Revolução Técnico‑Científico‑Informacional). Ela promoveu a evolução das tecnologias de transporte e comunicação, de modo que a distância e as fronteiras geográficas se tornam cada vez menores.

GONÇALVES, J.; LOPES, K. O que é globalização?. Disponível em: https://www.politize.com.br. Acesso em: 24 set. 2024.

Qual foi a consequência direta da evolução desse processo?",elevação de fluxos internacionais,41427df7f9ddf042755e06ca46b7f36c616a6ea0cc9968e49fb9eaebf27d935782748212f9e7277f86cd10f1158175813b898c173d82ccd94cdd30cf94cceffa,Ciências Humanas,test
"TEXTO DE REFERÊNCIA: Depois da fotossíntese, a fixação biológica de nitrogênio é considerada o mais importante processo biológico do planeta. Isso porque alguns gêneros de bactérias são capazes de captar o nitrogênio (N2) presente no ar e transformá-lo em N assimilável pelas plantas. Trata-se de uma verdadeira “fábrica biológica”, capaz de suprir as necessidades de várias leguminosas como a soja, dispensando a adubação química nitrogenada.

Disponível em: www.embrapa.br. Acesso em: 19 set. 2022 (adaptado).

Em que processo os gêneros de bactérias produzem o mesmo composto que a adubação química nitrogenada à base de amônia fornece às plantas?",fixação,460254e3e58d0067885118976fa73d370d161ffc06769c037b8b8852f20e2122dc0b3d8f9deddc49e8a76898019b8fc350381c19e21ff0f01f12c9f984399f41,Ciências da Natureza,train
"TEXTO DE REFERÊNCIA: A visibilidade do corpo com deficiência gera reflexões sobre o papel que tem sido assumido por esses corpos, já que eles começam a ocupar espaços até então dominados pelos corpos considerados ideais. A apresentação no palco de um corpo com deficiência, longe do propósito de fomentar o sentimento de compaixão, pode levar as pessoas da plateia a dialogar/confrontar a história desse corpo com a história, os valores e (pré)conceitos do seu próprio corpo. Por esse trajeto, o dançarino pode desafiar as representações de corpo estabelecidas na dança.

SANTOS, R. F.; GUTIERREZ, G. L.; ROBLES, O. J. “Dança para pessoas com deficiência: um possível elemento de transformação pessoal e social”. Revista Brasileira de Ciências do Esporte, v. 41, n. 3, jul.-set. 2019.

De acordo com o texto, o melhor efeito que os corpos com deficiência que se apresentam nos palcos podem gerar é o de:",reflexão do público sobre seu próprio corpo,9f9dc88cbdf3f16c788184fd62b7453aca6591cbf5343a6c14a876c6625bd0e02d1420c891a76dcb88b1aa458ae19979b29721aff2302d0eb18efea271e81152,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: Por decreto de Deus, para manifestação de sua glória, alguns homens e anjos são predestinados à vida eterna e outros são predestinados à morte eterna. Aqueles do gênero humano que estão predestinados à vida foram escolhidos para a glória com Cristo por Deus, antes de efetuada a criação do mundo por manifestação de sua livre graça e amor [...] e tudo para louvor de sua gloriosa graça.

CONFISSÃO de Westminster. In: SEFFNER, F. Da Reforma à Contrarreforma : o cristianismo em crise. São Paulo: Atual, 1993 (Adaptação).

ENUNCIADO: O trecho da Confissão de Westminster reforça uma característica do pensamento reformista de João Calvino relacionada à",imutabilidade do destino,e93d2a7b89b048db2abc574665e0bbb545f53dd03345f1f63a463f33015991be4a0a6bb7a950348d1225422e1bf94b38ef4c0b96362a176b993320de24fb9494,Ciências Humanas,train
"TEXTO DE REFERÊNCIA: Entre os anos de 1930 e 1940 desenvolveu‑se a “teoria moderna da evolução”: resultado da fusão do conhecimento da genética com a fundamentação processual darwiniana baseada na teoria da seleção natural. Para que a seleção natural atue sobre uma característica, é necessário que já exista variação (diferenças entre os indivíduos) para aquela característica.

De acordo com essa teoria evolutiva, a variação citada surgiria como consequência de:",mutações durante a replicação do DNA,102855807364ccb080a7c87a1c1734014e6773d356fab17137708ade9039e1e75fdeeae1daa305d7d6b681506dcd5d345ab9f986e9c9a0d02dbf0c07b2e879e8,Ciências da Natureza,train
"TEXTO DE REFERÊNCIA: MICHELANGELO, B. _Pietà_. Mármore, 174 × 195 cm. 1498‑1499. Basílica de São Pedro, Vaticano, Roma.

A escultura _Pietà_ é reconhecida como uma importante obra do movimento renascentista ao combinar duas características típicas do período. Quais são essas duas características?",a temática religiosa e a composição inspirada no Classicismo,c178dba0007dfae2e527a9dfaf25aa0fb0ca64d32be8ef5de8e2070f9a1463539b178ce8c0352c439e28a2cf97593746bcb47d9637c6625a1f2cd75d82747ffc,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: Os X alunos de uma turma realizaram uma prova com apenas duas questões. Sabe‑se que 37 alunos acertaram somente uma das questões, 33 acertaram a primeira questão, 5 erraram as duas e 20 alunos acertaram as duas questões. Se nenhum aluno deixou questão em branco, quantos alunos erraram a primeira questão?",29,09cf74eeeb68392083fbce295d47e643e92804a959b1942a78edf5d93a1bcb6e65159198b7089b7a37c238167429ca4dd077215d03c0b89a67258acd9c07042e,Matemática,train
"TEXTO DE REFERÊNCIA: Conjunto habitacional com 50 casas. Cada casa consome, em média, 250 kWh ao mês (mês de 30 dias). Cada painel tem potência 265 W, rendimento 80 % e as horas diárias de irradiação úteis são 5,37 h. Sabendo esses dados, quantas placas solares, aproximadamente, a prefeitura precisará comprar para equipar todas as casas desse conjunto habitacional?",350,e2cec315588060745285887ac985c67a58cd9bf0bea6b035b6e9f4b5e49d0c62cc76919890716b0b84627e3816db7c585c1a5ea98e98c046e35c1a7a907acd0a,Ciências da Natureza,test
"TEXTO DE REFERÊNCIA: A precipitação de metais tóxicos existentes em água é uma das formas de tornar a água própria para consumo. A precipitação usando sulfeto é um método eficiente e simples de remoção de zinco aquoso, de acordo com a reação a seguir.

Zn2+ (aq) + S2– (aq) → ZnS(s)

Um reservatório de água tem uma concentração de zinco na forma de Zn2+ de 654 mg · L–1. Um volume de 1 000 L dessa água foi tratado com sulfeto (S2–) para destiná‑la ao consumo humano. Considere a massa molar, em g · mol–1, do Zn (65,4) e do ZnS (97,4) e que toda a massa de íons zinco presente na água foi consumida. Qual é a massa, em gramas, do sólido ZnS obtido após o tratamento desse volume de água?",974,a5e64f747b1c7234287fe9f18699a9c57530c1990087a3f9eabeec3c3505b1d9fe5bb65beed80c7d371159c0f707dbf271897ad527411cae692a6270acd10c84,Ciências da Natureza,train
"TEXTO DE REFERÊNCIA: Dia a dia, o fenômeno social do coronelismo se transforma, numa evolução natural, em que há que considerar a expansão do urbanismo, que liberta massas rurais vindas do campo, além de modificações profundas nos meios de comunicação. Mas a figura do “coronel” continua, apoiada aos mesmos fatores que a criaram ou produziram. Que importa que o “coronel” tenha passado a doutor? Ou que as fazendas tenham se transformado em fábricas? Ou que os seus auxiliares tenham passado a assessores ou a técnicos?

SOBRINHO, B. Prefácio à segunda edição. In: LEAL, V. Coronelismo, enxada e voto. São Paulo: Companhia das Letras, 2012. p. 20 (adaptado).

De acordo com o historiador Barbosa Sobrinho, o fenômeno do coronelismo",se reinventa como forma de sociabilidade.,81ec935c1b28a2012e6b25f20cdae6c734404f03272c1d65948fcaf77f3a419f58eb32258dd7e4af9f49b929345e4987c1d70d87806b2b27edcd9fbfdb22f931,Ciências Humanas,train
