question,true_answer,question_id,disciplina,split
"TEXTO DE REFERÊNCIA: A infecção pela Wuchereria bancrofti, um nematelminto transmitido pela picada do mosquito Culex quinquefasciatus, é endêmica em 80 países. Aproximadamente 40 milhões de pessoas no mundo estão gravemente incapacitadas devido ao quadro de elefantíase desenvolvido nessa infecção e que se manifesta principalmente nos membros inferiores. Aproximadamente um terço das pessoas infectadas vive na Ásia, no Pacífico Ocidental e nas Américas. No Brasil, a filariose bancroftiana é endêmica em Belém, Manaus e Recife.

Qual é o habitat da Wuchereria bancrofti no hospedeiro?",vaso linfático,c06b46f4a753453ae0cdaf1d06a407fa7fa69d9e2b4fff24a86e5e45322f568e717421c133f94fe87523032ead05ea872a85ede4fbb4601312e0167babd89631,Ciências da Natureza,valid
"TEXTO I

As organizações voltadas ao enfrentamento da violência doméstica observaram aumento da violência doméstica por causa, principalmente, do estresse econômico. Durante o isolamento social, seja em regime de _home office_, seja na busca pela manutenção de uma fonte de renda no trabalho informal, o trabalho doméstico não dá folga. Pelo contrário, aumenta à medida que há mais pessoas passando mais tempo em casa. Os problemas elencados aqui, bem como muitas outras desigualdades que nos assolam, não são novidades trazidas pela pandemia. De forma tensa, vivemos a exacerbação de problemas que nos acompanham, reforçados por modelos de pensamentos retrógrados, misóginos e de ataque ao papel do Estado, encolhendo políticas públicas que seriam fundamentais para enfrentarmos de maneira mais justa o contexto da pandemia.

VIEIRA, P. R.; GARCIA, L. P.; MACIEL, E. L. N. Isolamento social e o aumento da violência doméstica: o que isso nos revela? Rev. Bras. Epidemiol., v. 23, 2020.


TEXTO II

No início da pandemia, o aumento da violência doméstica com o isolamento social levou mulheres de diferentes regiões do país a se juntarem para ajudar de alguma maneira essas vítimas em um momento de crise sanitária e econômica. Surgia assim o Coletivo Brazilinas, formado por profissionais liberais de diversas áreas e influenciadoras digitais que já atuavam de alguma forma com voluntariado em questões sociais, que se organizaram para contribuir com mulheres em situação de vulnerabilidade social.

Disponível em: www.uol.com.br/universa/noticias/redacao/2021/04/04/violenciadomestica-na-pandemia-mulheres-criam-coletivo-pra-ajudar-vitimas.htm. Acesso em: 25 out. 2021.


Pergunta: O aumento da violência doméstica durante o isolamento social evidenciou qual contexto socio‑econômico?
",instabilidade financeira e assistência pública insuficiente,c477f9835fef0db931ce2a277854c380238ae12087146649336ef92ff59cdb57303acb6797cad5769c1260242aefeffe27fd649c668405d24126a552827361fc,Ciências Humanas,train
"TEXTO DE REFERÊNCIA: Em geral, começamos a falar naturalmente. Imitamos o que ouvimos dos pais, dos amigos, de quem estiver por perto. Ou seja, modificamos as vocalizações de acordo com o que ouvimos. Aprendemos, erramos, ensaiamos de novo. E disso resulta um sistema de comunicação único no mundo animal, a linguagem falada. Ela é singular, universal, uma característica biológica nossa.

No entanto, um seleto grupo de animais compartilha conosco o que chamamos de aprendizado vocal: eles aprendem ouvindo e copiando outros animais da espécie. Para surpresa de alguns, este grupo não inclui os grandes primatas, mas outros animais: mamíferos aquáticos (baleias, golfinhos, pinípedes), morcegos, pássaros, e possivelmente elefantes e o sagui‑de‑tufos‑brancos. Não são todas as aves, porém, que aprendem suas vocalizações, apenas pássaros canoros, beija‑flores e papagaios.

Disponível em: <https://cienciafundamental.blogfolha.uol.com.br>. Acesso em: 21 jun. 2022.

De acordo com o texto, estabelece‑se uma relação entre o canto de quais animais e a fala humana?",o canto de aves canoras e a fala humana,692baeb3243c9d1ae5327e8e70aabfc343585dc9df9393d24ba394e3aeae2449e35e1bcf5b975f454586b70fad811add3db9b6ad3d1703f8cb75ac8095957e19,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: ""Healing fiction"" heals your mind

“Unharmful novels” are usually referred to as “healing novels” among the readers. These novels are those that you can read comfortably without having to consume much energy while reading. They are also comforting and invigorating. Free of any difficult or complex plot, these “healing novels” are about empathy, healing, comfort, courage, and solidarity. The characters would come together in places like convenience stores or bookstores and tell their stories. They do not oblige readers to concentrate on certain characters, so it is fine to start reading from any part of the book. As people read the characters’ personal stories and become familiar with their backgrounds, they are slightly encouraged and feel empathy. However, for such a structure to be constructed, the novel needs a certain place where the characters gather, which is why there is a picture of a building on all the book covers.

Some of the common features that the covers of these “healing novels” have are dark nights, a building with low light flowing from the window, and above all, a store. Some say that the trend began with Keigo Higashino’s The Miracles of the Namiya General Store, but among the books written by Korean writers, the book Dallergut Dream Department Store (Sam & Parkers) by Lee Mi-Ye sparked the craze. Also, Midnight Library featuring a library, drew popularity at the same time, which marked the beginning of other similar types of novels published in the market.

Os chamados “Healing fiction”, tratados no texto, são livros que têm como objetivo fornecer ao leitor um sentimento de:",Conforto,df31d2d1f0f0f47165331dd9a800276355be77ef3524b96d0a8ed201ccd6f89b17ece89311db4b2905da4907594a14ccf99a3c24afa3c3df9fa24d9e7fcd0b94,Linguagens e Códigos,train
"TEXTO DE REFERÊNCIA: Although Tía Miriam boasted she discovered at least half a dozen uses for peanut butter—topping for guava shells in syrup, butter substitute for Cuban toast, hair conditioner and relaxer—

Mamá never knew what to make of the monthly five‑pound jars handed out by the immigration department until my friend, Jeff, mentioned jelly.

There was always pork though, for every birthday and wedding, whole ones on Christmas and New Year’s Eve, even on Thanksgiving day—pork, fried, broiled, or crispy skin roasted—as well as cauldrons of black beans, fried plantain chips, and yuca con mojito. These items required a special visit to Antonio’s Mercado on the corner of Eighth Street […].

By seven I had grown suspicious—we were still here. Overheard conversations about returning had grown wistful and less frequent. […]

None of the girls had hair of gold; none of my brothers or cousins were named Greg, Peter, or Marcia; we were not the Brady Bunch. None of the black and white characters on Donna Reed or on the Dick Van Dyke Show were named Guadalupe, Lázaro, or Mercedes. Patty Duke’s family wasn’t like us either— they didn’t have pork on Thanksgiving, they ate turkey with cranberry sauce; they didn’t have yuca, they had yams like the dittos of Pilgrims I colored in class.

No trecho do poema de Richard Blanco apresentado, o eu lírico destaca o quê?
",diferença cultural entre imigrantes e nativos norte‑americanos,0d8de13be0d10644e4625c189c9875f968a2ef2935ce3cb1e970ebcf6f9adf430687341df62e69e121c05d4453013bf7cb6a783236231c6c648145e589c5d910,Linguagens e Códigos,valid
"TEXTO DE REFERÊNCIA:

TEXTO I: O presidente dos Estados Unidos, Joe Biden, anunciou em maio de 2022 que 12 países aderiram ao Quadro Econômico Indo‑Pacífico (IPEF, na sigla em inglês), um novo pacto comercial que pretende aproximar Washington de economias asiáticas em questões como cadeias de suprimentos, comércio digital, energia limpa e esforços anticorrupção.

TEXTO II: O porta‑voz do Ministério das Relações Exteriores da China, Wang Wenbin, disse na quarta‑feira (25/05/2022) que os Estados Unidos querem dissociar os países do Indo‑Pacífico da economia chinesa ao firmar acordo comercial com 12 nações da região.

Qual aspecto das relações internacionais é revelado pelas diferentes visões sobre o acordo citado nos textos?",Busca por hegemonia mercadológica,aeb46b4617852e66fc5ce3a439c496d23312a6ce55109c2e619199b08febf013b9d27a670f7bc47820a342f20304b8aa78fff076deff9c0445cbd9c08b7baa83,Ciências Humanas,test
"TEXTO DE REFERÊNCIA: The 16 countries that recognize the British monarch as head of state struck a historic blow for women’s rights on Friday, abolishing male precedence in the order of succession to the throne. [...] The change comes at another important juncture in the modern monarchy, the 60th anniversary in February of the succession of Queen Elizabeth II to the throne.

The queen, now 85, has presided over a variety of changes in the monarchy over the past 30 years, agreeing to a gradual modernization that has swept away some of the stuffiness that critics have identified in an institution with origins going back at least 1 000 years. [...]

BURNS, J. F. British Monarchy scraps rule of male succession in new step to modernization. The New York Times. 2011. Disponível em: www.nytimes.com. Acesso em: 30 set. 2022.

O trecho da reportagem apresentada se refere, sobretudo, a que assunto?",À abolição da precedência dos herdeiros homens sobre as mulheres.,29ea926d6482bff116c7ced1657e0ed128dfcbd3e43055c9dfc04250bf725b0da3ad2af4f3f1b448b411a73ff43e8662135a20425fc0343feb9a82dadddda069,Ciências Humanas,train
"TEXTO DE REFERÊNCIA: A elite de São Paulo defendia a constitucionalização do país, a partir dos princípios da democracia liberal. Como medida transitória, exigia a nomeação de um interventor civil e paulista. Em fevereiro de 1932, o governo provisório dispôs‑se a atender às pressões contra o prolongamento da ditadura, que vinham não só de São Paulo, como do Rio Grande do Sul e de Minas, promulgando o Código Eleitoral.

FAUSTO, Boris. História do Brasil. São Paulo: Edusp, 2006. (adaptado)

A reivindicação política apresentada no texto, ocorrida em São Paulo, foi uma reação à quê?",centralização do poder federal,857e5935ad1a2e46b29c25125ba3a93cfd10256b6ae42f2925ce69776c476ebb53cdf2baa42862ae3f0d52f6d498236c306508f4dd721c388392a9c889ffb229,Ciências Humanas,train
"TEXTO DE REFERÊNCIA: Uma loja disponibiliza cinco modelos distintos de embalagem, sendo quatro deles em forma de prisma reto e um em forma de cilindro circular reto. Como todos os modelos de embalagem têm a mesma altura, os consumidores costumam analisar a área da base deles para saber se o objeto a ser embalado poderá ser acomodado. O formato e as dimensões da base de cada modelo de embalagem são os seguintes.

- Modelo I: quadrado de 12 cm de lado;
- Modelo II: retângulo de 8 cm por 12 cm;
- Modelo III: hexágono regular de 7 cm de lado;
- Modelo IV: círculo de 14 cm de diâmetro;
- Modelo V: triângulo equilátero de 16 cm de lado.

Use 3 e 1,7 como aproximações para π e 3, respectivamente.

ENUNCIADO: Nessas condições, o único modelo que esse consumidor pode escolher, garantindo que o objeto pretendido será acomodado, é o",IV,4f13e39f4c5539fab79a4ef1d2cc75419dd5af1597e46db43b363eceba102dc6f874f1034a7d741b46101e4afd41df3ac8ded4361997527a800987bfc1cce908,Matemática,train
"TEXTO DE REFERÊNCIA: Por que meio, pois, comover os corações e fazer amar a pátria e as leis? Ousaria eu dizê-lo? Por meio de jogos de crianças. Por meio de instituições ociosas aos olhos dos homens superficiais, mas que formam hábitos queridos e afeições invencíveis.

ROUSSEAU, J.-J. Considerações sobre o governo da Polônia e sua reforma projetada. São Paulo: Editora Brasiliense, 1982. p. 26.

De acordo com o texto, a defesa de Rousseau indica que o interesse iluminista estava voltado para:",apropriação de momentos coletivos para a educação cívica,100453296f9ccda3f3fa6481535904b6ed9c15e2998b4a0914db86563383bb21ab154f9aa9e0f3f7a56533f1d9e95166a9d9692a81b761bd35a66b80555cead0,Ciências Humanas,train
