"annotation_id","annotator","created_at","disciplina","id","intent_choice","lead_time","question","question_id","split","true_answer","updated_at"
2,"1","2025-09-17T14:47:09.259538Z","Ciências Humanas",2,"Análise de Exemplo",82.676,"TEXTO DE REFERÊNCIA: Duas empresas estão transformando resíduos da cana‑de‑açúcar em celulose e papel [...]. Os estudos tiveram o apoio de pesquisadores da Universidade Federal de Viçosa (UFV), que escolheram a palha como matéria‑prima, fizeram a análise da pasta celulósica produzida [...].
A palha de cana é um resíduo abundante no Brasil. A Companhia Nacional de Abastecimento (Conab) estima que foram colhidos 657,18 milhões de t de cana‑de‑açúcar na safra 2016/2017 [...]. Segundo Henrique Coutinho Junqueira Franco, [...], do Laboratório Nacional de Ciência e Tecnologia do Bioetanol (CTBE) [...], “a maioria do bagaço já é utilizada na cogeração de eletricidade e produção de etanol de segunda geração. Mas a palha ainda é pouco usada” [...].
O uso de fibras alternativas, não provenientes de madeira, para a produção de celulose não é novidade. Bambu, babaçu, sisal e resíduos agrícolas já são utilizados há décadas, principalmente em países onde a disponibilidade de terras para o cultivo de árvores é baixa.

ZAPAROLLI, D. Disponível em: www.revistapesquisa.fapesp.br. Acesso em: 3 jul. 2019.

Qual é uma das vantagens do uso da fibra de cana‑de‑açúcar para a produção de papel?","97dd70e2f589a438187893e5790270050c13a9d73ff73f5a9b086c167da0994e9aad00cf9cd416ac65396586aa8492ba3f430fd27b53f8322719486f96c483c2","valid","redução da quantidade de resíduos produzidos pelo processamento da cana‑de‑açúcar.","2025-09-17T14:47:09.259555Z"
3,"1","2025-09-17T14:48:01.716410Z","Ciências da Natureza",3,"Conceitual",41.228,"TEXTO DE REFERÊNCIA: O Comitê Organizador das Olimpíadas no Rio em 2016 admitiu erro no tratamento da água do Parque Aquático Maria Lenk, no Parque Olímpico. A água da piscina de saltos ornamentais apareceu verde nas provas desta terça‑feira (9/8/2016). A Federação Internacional de Natação informou que produtos químicos do reservatório de água vazaram para a piscina e, como resultado, o pH da água estava fora do valor habitual, fazendo com que houvesse a descoloração.

Disponível em: www.olimpiadas.uol.com.br. Acesso em: 13 maio 2019 (adaptado).

Sabendo que o pH ideal da água de uma piscina se encontra entre 7,2 e 7,6, qual método pode ser usado para verificar qualitativamente se esse pH está adequado?","4f824db36adb5ffa18710e8bbaa0abff8f8d5c3f841b77537284f5ebb4e7968b0be0c038a8ae734eadbe3ed1cc91d74573e5b30c9c81d39c6b136aa6de060500","train","Utilizar um indicador ácido‑base com ponto de viragem próximo ao pH adequado.","2025-09-17T14:48:01.716514Z"
4,"1","2025-09-17T14:48:48.481843Z","Ciências da Natureza",4,"Análise de Exemplo",44.159,"TEXTO DE REFERÊNCIA: As atividades de mineração e metalurgia são, reconhecidamente, de elevado impacto ambiental. No caso da mineração, o enorme tamanho de algumas operações, a quantidade de carga movimentada e os rejeitos gerados têm representado riscos para diversas regiões e populações, eventualmente afetadas por acidentes e mecanismos ineficientes de deposição e monitoramento. Já a metalurgia é um dos setores mais intensivos em energia e emissões de gases de efeito estufa (GEE), sendo alvo direto das ações de preservação do clima em todo o mundo. Ambos os setores também são grandes consumidores de água.

Disponível em: <https://www.bndes.gov.br>. Acesso em: 14 dez. 2019.

Uma medida viável para atenuar esses impactos é a:","76f295a3885f4438407817c8188b2e448352a83d00e159f1b88bf1f886fa1e7053b45a065dbbb137abbc522dc44c4f76cc44012a4c105be9ce46298521c9a755","train","implementação de técnicas de reutilização da água usada no processo produtivo","2025-09-17T14:48:48.481865Z"
5,"1","2025-09-17T14:49:07.641695Z","Matemática",5,"Procedimental",17.612,"Lucas e Marcos fizeram a mesma viagem, cada um em seu carro. O carro de Lucas tem rendimento médio de 12 km por litro de gasolina, enquanto o carro de Marcos é mais econômico, tendo um rendimento médio de 2 km a mais por litro em relação ao carro de Lucas. Se Lucas gastou 70 litros de gasolina nessa viagem, quantos litros de combustível Marcos gastou, considerando que ambos percorreram a mesma distância?","65c7d3a5f99f1a23366a265eaf51f7a67c451d3975280c911c59e554fe0604b694b2f08c07755a1f045fc0edf2c740a6c658726384f1be6267c439f7f3df9795","train","60 L","2025-09-17T14:49:07.641709Z"
6,"1","2025-09-17T14:49:39.075190Z","Linguagens e Códigos",6,"Análise de Exemplo",30.114,"TEXTO DE REFERÊNCIA: TEXTO I
Se não escrever, não vivo; fico angustiado. Escrevo diariamente, religiosamente. O dia em que não escrevo, fico com um sentimento de culpa enorme. Se ficar três dias então, fico totalmente neurótico. Tenho que estar ocupado, senão falta alguma coisa na minha vida. Escrever para mim é uma terapia.

Depoimento de Dias Gomes ao Jornal da Tarde, 24 jun. 1994. In: BRITO, José Domingos de (Org.). Por que escrevo?. São Paulo: Novera Editora, 2007. p. 73.

TEXTO II
Sei também que escrevo para me livrar dos meus demônios, que se apresentam em forma de vogais e consoantes – escrever é desanuviar dos próprios assombros; jeito poético talvez de cortejar próprios destrambelhos; de zombar de si mesmo – sem abrir mão dos rompantes lúdicos; escrever para tornar águas do meu rio menos turvas.

FERREIRA, Evandro Affonso. Não tive nenhum prazer em conhecê-los. Rio de Janeiro: Record, 2016. p. 167.

Nos dois depoimentos metalinguísticos, o ato de escrever é descrito pelos escritores como","2a3e9ff56a90a80a5cf50696744ed7e2e398193274577f96e5deb70e94ff3d04edce424fd647d95f6971706964508ea23c8657f5c10a447b1964ecb74fea8944","train","apaziguador","2025-09-17T14:49:39.075204Z"
7,"1","2025-09-17T14:50:15.038030Z","Linguagens e Códigos",7,"Análise de Exemplo",34.162,"TEXTO DE REFERÊNCIA: A visibilidade do corpo com deficiência gera reflexões sobre o papel que tem sido assumido por esses corpos, já que eles começam a ocupar espaços até então dominados pelos corpos considerados ideais. A apresentação no palco de um corpo com deficiência, longe do propósito de fomentar o sentimento de compaixão, pode levar as pessoas da plateia a dialogar/confrontar a história desse corpo com a história, os valores e (pré)conceitos do seu próprio corpo. Por esse trajeto, o dançarino pode desafiar as representações de corpo estabelecidas na dança.

SANTOS, R. F.; GUTIERREZ, G. L.; ROBLES, O. J. “Dança para pessoas com deficiência: um possível elemento de transformação pessoal e social”. Revista Brasileira de Ciências do Esporte, v. 41, n. 3, jul.-set. 2019.

De acordo com o texto, o melhor efeito que os corpos com deficiência que se apresentam nos palcos podem gerar é o de:","9f9dc88cbdf3f16c788184fd62b7453aca6591cbf5343a6c14a876c6625bd0e02d1420c891a76dcb88b1aa458ae19979b29721aff2302d0eb18efea271e81152","train","reflexão do público sobre seu próprio corpo","2025-09-17T14:50:15.038043Z"
8,"1","2025-09-17T14:50:25.651105Z","Ciências Humanas",8,"Análise de Exemplo",9.204,"TEXTO DE REFERÊNCIA: O presidente da Inova Consulting, Luís Rasquilha, alerta: trabalhos que não forem de “índole criativa e inovadora” tendem a desaparecer. Áreas de atividades operacionais e de processos repetitivos já estão sendo automatizadas, e a tendência é que as funções sejam substituídas por máquinas, visando reduzir custos e atender às necessidades do mercado. “É o caso de caixa e gerente de banco, atendente de call center, segurança de shopping, consultor financeiro, corretor de seguros e de imóveis, entre outras”, diz.

FERNANDES, M. LOURENÇO, M. SARAIVA, J. Tecnologia e mudanças no mercado de trabalho fazem profissões acabarem. Correio Braziliense. Disponível em: http://especiais.correiobraziliense.com.br/. Acesso em: 7 mar. 2021.

De acordo com o texto, qual será a consequência do cenário proposto?","d17684835978d5c7a38e7cee7048cd4e87a6f72a8d006ff5bba17a26b72164c650ce9ea2caed8d69da447d35a61bf419d4ae5c8e77804901152928b655782a43","valid","Ampliação das desigualdades sociais.","2025-09-17T14:50:25.651123Z"
9,"1","2025-09-17T14:50:32.919585Z","Matemática",9,"Procedimental",5.912,"TEXTO DE REFERÊNCIA: Para estudar o alcance do sinal das emissoras de rádio, inseriu‑se o mapa de um estado em um sistema cartesiano cuja unidade é o quilômetro. Sabe‑se que, uma vez instalada uma antena de transmissão de rádio de alcance R km, a região que receberá o sinal dessa antena é representada por um círculo com centro na antena e raio R km.

Nesse plano cartesiano, as regiões que recebem o sinal das emissoras A e B são representadas pelas equações

x² + y² – 2x – 2y = 98  (emissora A)

(x – 11)² + (y – 1)² = 100  (emissora B)

Considerando essas informações, qual é a área, em km², da região que recebe simultaneamente o sinal das duas emissoras?","8676c3de31ce2c330057e3cb9e44bd663a6cc413588a99ed3c056411c8ce2b56418b0ddda3bbbc1c73d3a1ddbf56c1ffdbfff5fb027c2f50527b6849f2691d91","train","π(200/3) – 50√3","2025-09-17T14:50:32.919600Z"
10,"1","2025-09-17T14:51:50.445313Z","Matemática",10,"Procedimental",76.184,"TEXTO DE REFERÊNCIA: O termo gadget vem sendo usado para designar dispositivos eletrônicos portáteis, que utilizam pequenas placas de circuito, como smartphones, tablets, notebooks, HDs externos, carregadores portáteis, entre outros.

Em determinada fábrica de produção de gadgets, há 180 operadores que trabalham configurando máquinas que são utilizadas para produzir placas de circuito. Todos esses operadores trabalham em um ritmo constante, independentemente das demandas da fábrica. Desse modo, caso haja diminuição da demanda ou aumento do prazo de entrega, uma parcela dos operadores ficará ociosa. Por outro lado, se a demanda aumentar ou o prazo de entrega diminuir, serão necessárias contratações temporárias. Durante um período de demanda atípica, a quantidade das placas de circuito produzidas reduziu na sua terça parte e o tempo para que os operadores produzissem essas placas aumentou em sua quinta parte.

Durante esse período de demanda atípica, a quantidade necessária de operadores configurando as máquinas da fábrica era de","ccd9cd0d06c3f30d71f2a41eb38e6bec71cdab2386041bfc5be1609a901c29e198390f2e3a37ff11ec1004098efdd6a0dbb36692b1ecaebdd48c771d2c5673a9","valid","100","2025-09-17T14:51:50.445324Z"
11,"1","2025-09-17T14:51:57.331376Z","Ciências da Natureza",11,"Procedimental",4.377,"TEXTO DE REFERÊNCIA: Conjunto habitacional com 50 casas. Cada casa consome, em média, 250 kWh ao mês (mês de 30 dias). Cada painel tem potência 265 W, rendimento 80 % e as horas diárias de irradiação úteis são 5,37 h. Sabendo esses dados, quantas placas solares, aproximadamente, a prefeitura precisará comprar para equipar todas as casas desse conjunto habitacional?","e2cec315588060745285887ac985c67a58cd9bf0bea6b035b6e9f4b5e49d0c62cc76919890716b0b84627e3816db7c585c1a5ea98e98c046e35c1a7a907acd0a","test","350","2025-09-17T14:51:57.331393Z"
